gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
135,184135393,185376409,1241016,6.093777380747
136,185376409,186924025,1547616,6.189663211018
137,186924025,187807733,883708,5.946308786577
138,187807733,188153285,345552,5.538513410940
139,188153285,192214541,4061256,6.608660365970
140,192214541,192661517,446976,5.650284204681
141,192661517,193482445,820928,5.914305068722
142,193482445,193558669,76224,4.882091735467
143,193558669,196319161,2760492,6.440986492878
144,196319161,197600509,1281348,6.107667095361
145,197600509,198485737,885228,5.947055142324
146,198485737,199396333,910596,5.959325738239
147,199396333,200467145,1070812,6.029713229441
148,200467145,204396685,3929540,6.594341713949
149,204396685,204658493,261808,5.417982913043
150,204658493,205320725,662232,5.821010162655
151,205320725,205966729,646004,5.810235207117
152,205966729,208893205,2926476,6.466344966820
153,208893205,210214885,1321680,6.121126318193
154,210214885,210394361,179476,5.254006381803
155,210394361,211331845,937484,5.971963864377
156,211331845,213171281,1839436,6.264684681903
157,213171281,216478765,3307484,6.519497751959
158,216478765,217429693,950928,5.978147635353
159,217429693,217492721,63028,4.799533526343
160,217492721,218841289,1348568,6.129872850144
161,218841289,221857525,3016236,6.479465319123
162,221857525,222649897,792372,5.898929120501
163,222649897,223219537,569640,5.755600477766
164,223219537,223614269,394732,5.596302335061
165,223614269,226265693,2651424,6.423479183084
166,226265693,228907757,2642064,6.421943333532
167,228907757,229885573,977816,5.990257139345
168,229885573,230717225,831652,5.919941636272
169,230717225,232106125,1388900,6.142670977911
170,232106125,235212121,3105996,6.492200892095
171,235212121,235252345,40224,4.604485256006
172,235252345,236243605,991260,5.996187581585
173,236243605,236614465,370860,5.569209993975
174,236614465,239750381,3135916,6.496364420969
175,239750381,241683661,1933280,6.286294758141
176,241683661,242688365,1004704,6.002038131307
177,242688365,244332005,1643640,6.215806701809
178,244332005,245761237,1429232,6.155102731339
179,245761237,248201705,2440468,6.387473117457
180,248201705,248956993,755288,5.878112584690
181,248956993,249219853,262860,5.419724503562
