gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
896,1201138205,1202132149,993944,5.997361916413,9653,33286,6,1,13657,47093,3,2
897,1202132149,1204387117,2254968,6.353140383233,13657,47093,3,2,9666,33331,1,1
898,1204387117,1206628669,2241552,6.350548818174,9666,33331,1,1,9675,33362,2,1
899,1206628669,1208471669,1843000,6.265525335219,9675,33362,2,1,13693,47217,7,2
900,1208471669,1209187585,715916,5.854862068570,13693,47217,7,2,13697,47231,1,2
901,1209187585,1211118025,1930440,6.285656307864,13697,47231,1,2,9693,33424,4,1
902,1211118025,1211647681,529656,5.723993896381,9693,33424,4,1,13711,47279,9,2
903,1211647681,1212364537,716856,5.855431924585,13711,47279,9,2,13715,47293,3,2
904,1212364537,1213365829,1001292,6.000560746306,13715,47293,3,2,9702,33455,5,1
905,1213365829,1215545657,2179828,6.338422226817,9702,33455,5,1,13733,47355,5,2
906,1215545657,1218730945,3185288,6.503148705480,13733,47355,5,2,13751,47417,7,2
907,1218730945,1218884137,153192,5.185236086141,13751,47417,7,2,9724,33531,1,1
908,1218884137,1219449893,565756,5.752629168465,9724,33531,1,1,13755,47431,1,2
909,1219449893,1221139133,1689240,6.227691356659,13755,47431,1,2,9733,33562,2,1
910,1221139133,1221920401,781268,5.892800036382,9733,33562,2,1,13769,47479,9,2
911,1221920401,1223396213,1475812,6.169031037323,13769,47479,9,2,9742,33593,3,1
912,1223396213,1225655377,2259164,6.353947758902,9742,33593,3,1,9751,33624,4,1
913,1225655377,1225834853,179476,5.254006381803,9751,33624,4,1,13791,47555,5,2
914,1225834853,1229033585,3198732,6.504977855027,13791,47555,5,2,13809,47617,7,2
915,1229033585,1229755565,721980,5.858525167085,13809,47617,7,2,13813,47631,1,2
916,1229755565,1230179957,424392,5.627767188640,13813,47631,1,2,9769,33686,6,1
917,1230179957,1232959405,2779448,6.443958553343,9769,33686,6,1,13831,47693,3,2
918,1232959405,1233467885,508480,5.706273875527,13831,47693,3,2,9782,33731,1,1
919,1233467885,1235736325,2268440,6.355727296710,9782,33731,1,1,9791,33762,2,1
920,1235736325,1236167413,431088,5.634565933765,9791,33762,2,1,13849,47755,5,2
921,1236167413,1238006849,1839436,6.264684681903,13849,47755,5,2,9800,33793,3,1
922,1238006849,1240104601,2097752,6.321754143820,9800,33793,3,1,13871,47831,1,2
923,1240104601,1240279457,174856,5.242680539260,13871,47831,1,2,9809,33824,4,1
924,1240279457,1242554149,2274692,6.356922600221,9809,33824,4,1,9818,33855,5,1
925,1242554149,1242595933,41784,4.621010012829,9818,33855,5,1,13885,47879,9,2
926,1242595933,1243321885,725952,5.860907906066,13885,47879,9,2,13889,47893,3,2
927,1243321885,1244830925,1509040,6.178700751737,13889,47893,3,2,9827,33886,6,1
928,1244830925,1246543337,1712412,6.233608262561,9827,33886,6,1,13907,47955,5,2
929,1246543337,1248138361,1595024,6.202767222183,13907,47955,5,2,9840,33931,1,1
930,1248138361,1249768957,1630596,6.212346372626,9840,33931,1,1,13925,48017,7,2
931,1249768957,1250420245,651288,5.813773076360,13925,48017,7,2,9849,33962,2,1
932,1250420245,1250497001,76756,4.885112334182,9849,33962,2,1,13929,48031,1,2
933,1250497001,1252998745,2501744,6.398242866878,13929,48031,1,2,13943,48079,9,2
934,1252998745,1254990265,1991520,6.299184672205,13943,48079,9,2,9867,34024,4,1
935,1254990265,1257278401,2288136,6.359481834061,9867,34024,4,1,9876,34055,5,1
936,1257278401,1260201689,2923288,6.465871603811,9876,34055,5,1,13983,48217,7,2
937,1260201689,1260932765,731076,5.863962526978,13983,48217,7,2,13987,48231,1,2
938,1260932765,1262895565,1962800,6.292876049309,13987,48231,1,2,9898,34131,1,1
939,1262895565,1264176937,1281372,6.107675229740,9898,34131,1,1,14005,48293,3,2
940,1264176937,1265190893,1013956,6.006019109463,14005,48293,3,2,9907,34162,2,1
941,1265190893,1267425277,2234384,6.349157812804,9907,34162,2,1,14023,48355,5,2
942,1267425277,1267488305,63028,4.799533526343,14023,48355,5,2,9916,34193,3,1
943,1267488305,1269787801,2299496,6.361632658450,9916,34193,3,1,9925,34224,4,1
944,1269787801,1270677785,889984,5.949382199033,9925,34224,4,1,14041,48417,7,2
945,1270677785,1271411893,734108,5.865759956856,14041,48417,7,2,14045,48431,1,2
946,1271411893,1272089381,677488,5.830901607178,14045,48431,1,2,9934,34255,5,1
947,1272089381,1273934461,1845080,6.266015201284,9934,34255,5,1,14059,48479,9,2
948,1273934461,1274393045,458584,5.661418898120,14059,48479,9,2,9943,34286,6,1
949,1274393045,1274669509,276464,5.441638587289,9943,34286,6,1,14063,48493,3,2
950,1274669509,1277739497,3069988,6.487136677906,14063,48493,3,2,9956,34331,1,1
951,1277739497,1277931293,191796,5.282839545504,9956,34331,1,1,14081,48555,5,2
952,1277931293,1280048269,2116976,6.325715934483,14081,48555,5,2,9965,34362,2,1
953,1280048269,1281197245,1148976,6.060310957168,9965,34362,2,1,14099,48617,7,2
954,1281197245,1281934385,737140,5.867549978298,14099,48617,7,2,14103,48631,1,2
955,1281934385,1282359125,424740,5.628123162712,14103,48631,1,2,9974,34393,3,1
956,1282359125,1284467365,2108240,6.323920049018,9974,34393,3,1,14117,48679,9,2
957,1284467365,1284672065,204700,5.311117842663,14117,48679,9,2,9983,34424,4,1
958,1284672065,1286987089,2315024,6.364555497736,9983,34424,4,1,9992,34455,5,1
959,1286987089,1288480673,1493584,6.174229652592,9992,34455,5,1,14139,48755,5,2
960,1288480673,1289304197,823524,5.915676260355,14139,48755,5,2,10001,34486,6,1
961,1289304197,1291760069,2455872,6.390205727639,10001,34486,6,1,14157,48817,7,2
962,1291760069,1292500241,740172,5.869332652124,14157,48817,7,2,14161,48831,1,2
963,1292500241,1292670157,169916,5.230234275776,14161,48831,1,2,10014,34531,1,1
964,1292670157,1294992373,2322216,6.365902613010,10014,34531,1,1,10023,34562,2,1
965,1294992373,1295784745,792372,5.898929120501,10023,34562,2,1,14179,48893,3,2
966,1295784745,1299073417,3288672,6.517020560715,14179,48893,3,2,14197,48955,5,2
967,1299073417,1299643057,569640,5.755600477766,14197,48955,5,2,10041,34624,4,1
968,1299643057,1302366257,2723200,6.435079538404,10041,34624,4,1,14215,49017,7,2
969,1302366257,1303109461,743204,5.871108038409,14215,49017,7,2,14219,49031,1,2
970,1303109461,1305663265,2553804,6.407187562863,14219,49031,1,2,14233,49079,9,2
971,1305663265,1306407409,744144,5.871656984409,14233,49079,9,2,14237,49093,3,2
972,1306407409,1307687545,1280136,6.107256110985,14237,49093,3,2,10072,34731,1,1
973,1307687545,1310023205,2335660,6.368409623170,10072,34731,1,1,10081,34762,2,1
974,1310023205,1312360949,2337744,6.368796951020,10081,34762,2,1,10090,34793,3,1
975,1312360949,1313762045,1401096,6.146467893203,10090,34793,3,1,14277,49231,1,2
976,1313762045,1314700777,938732,5.972541622581,14277,49231,1,2,10099,34824,4,1
977,1314700777,1316326261,1625484,6.210982698996,10099,34824,4,1,14291,49279,9,2
978,1316326261,1317042689,716428,5.855172550946,14291,49279,9,2,10108,34855,5,1
979,1317042689,1319386685,2343996,6.369956866229,10108,34855,5,1,10117,34886,6,1
980,1319386685,1320388997,1002312,6.001002929901,10117,34886,6,1,14313,49355,5,2
981,1320388997,1322791661,2402664,6.380693041237,14313,49355,5,2,10130,34931,1,1
982,1322791661,1323708725,917064,5.962399645241,10130,34931,1,1,14331,49417,7,2
983,1323708725,1324457993,749268,5.874637184993,14331,49417,7,2,14335,49431,1,2
984,1324457993,1325140765,682772,5.834275702696,14335,49431,1,2,10139,34962,2,1
985,1325140765,1327491953,2351188,6.371287356517,10139,34962,2,1,10148,34993,3,1
986,1327491953,1327782829,290876,5.463707889354,10148,34993,3,1,14353,49493,3,2
987,1327782829,1329845225,2062396,6.314372057700,14353,49493,3,2,10157,35024,4,1
988,1329845225,1331111833,1266608,6.102642226740,10157,35024,4,1,14371,49555,5,2
989,1331111833,1332200581,1088748,6.036927370229,14371,49555,5,2,10166,35055,5,1
990,1332200581,1334445005,2244424,6.351104904040,10166,35055,5,1,14389,49617,7,2
991,1334445005,1334558021,113016,5.053139932154,14389,49617,7,2,10175,35086,6,1
992,1334558021,1335197305,639284,5.805693835048,10175,35086,6,1,14393,49631,1,2
993,1335197305,1336917545,1720240,6.235589041910,14393,49631,1,2,10184,35117,7,1
994,1336917545,1337782345,864800,5.936915680945,10184,35117,7,1,14407,49679,9,2
995,1337782345,1337982505,200160,5.301377292349,14407,49679,9,2,10188,35131,1,1
996,1337982505,1338535585,553080,5.742787954172,10188,35131,1,1,14411,49693,3,2
997,1338535585,1340345053,1809468,6.257550907120,14411,49693,3,2,10197,35162,2,1
998,1340345053,1341878033,1532980,6.185536488875,10197,35162,2,1,14429,49755,5,2
999,1341878033,1345076401,3198368,6.504928431635,14429,49755,5,2,10215,35224,4,1
1000,1345076401,1345224649,148248,5.170988843049,10215,35224,4,1,14447,49817,7,2
1001,1345224649,1345979981,755332,5.878137884180,14447,49817,7,2,14451,49831,1,2
1002,1345979981,1347445201,1465220,6.165902838078,14451,49831,1,2,10224,35255,5,1
1003,1347445201,1348575433,1130232,6.053167599216,10224,35255,5,1,14465,49879,9,2
1004,1348575433,1352189053,3613620,6.557942481213,14465,49879,9,2,10242,35317,7,1
1005,1352189053,1352687597,498544,5.697703493869,10242,35317,7,1,14487,49955,5,2
1006,1352687597,1353260077,572480,5.757760318887,14487,49955,5,2,10246,35331,1,1
1007,1353260077,1355636069,2375992,6.375844974036,10246,35331,1,1,10255,35362,2,1
1008,1355636069,1356047657,411588,5.614462704259,10255,35362,2,1,14505,50017,7,2
1009,1356047657,1356806021,758364,5.879877708596,14505,50017,7,2,14509,50031,1,2
1010,1356806021,1358014145,1208124,6.082111511894,14509,50031,1,2,10264,35393,3,1
1011,1358014145,1360171189,2157044,6.333859004056,10264,35393,3,1,14527,50093,3,2
1012,1360171189,1360394305,223116,5.348530715342,14527,50093,3,2,10273,35424,4,1
1013,1360394305,1362776549,2382244,6.376986241793,10273,35424,4,1,10282,35455,5,1
1014,1362776549,1365160877,2384328,6.377365998883,10282,35455,5,1,10291,35486,6,1
1015,1365160877,1366914029,1753152,6.243819571484,10291,35486,6,1,14563,50217,7,2
1016,1366914029,1367547289,633260,5.801582056592,14563,50217,7,2,10300,35517,7,1
1017,1367547289,1367675425,128136,5.107671162570,10300,35517,7,1,14567,50231,1,2
1018,1367675425,1368624377,948952,5.977244245449,14567,50231,1,2,10304,35531,1,1
1019,1368624377,1370291701,1667324,6.222020001591,10304,35531,1,1,14581,50279,9,2
1020,1370291701,1371013813,722112,5.858604562126,14581,50279,9,2,10313,35562,2,1
1021,1371013813,1371054037,40224,4.604485256006,10313,35562,2,1,14585,50293,3,2
1022,1371054037,1373405333,2351296,6.371307305039,14585,50293,3,2,10322,35593,3,1
1023,1373405333,1374436817,1031484,6.013462495745,10322,35593,3,1,14603,50355,5,2
1024,1374436817,1375798937,1362120,6.134215369722,14603,50355,5,2,10331,35624,4,1
1025,1375798937,1377823765,2024828,6.306388137761,10331,35624,4,1,14621,50417,7,2
1026,1377823765,1378588193,764428,5.883336586314,14621,50417,7,2,14625,50431,1,2
1027,1378588193,1380592397,2004204,6.301941924563,14625,50431,1,2,10349,35686,6,1
1028,1380592397,1381214881,622484,5.794128193035,10349,35686,6,1,14639,50479,9,2
1029,1381214881,1382992253,1777372,6.249778334186,14639,50479,9,2,10358,35717,7,1
1030,1382992253,1384075405,1083152,6.034689405960,10358,35717,7,1,10362,35731,1,1
1031,1384075405,1385376473,1301068,6.114299995449,10362,35731,1,1,14661,50555,5,2
1032,1385376473,1386478285,1101812,6.042107498029,14661,50555,5,2,10371,35762,2,1
1033,1386478285,1389544325,3066040,6.486577816424,10371,35762,2,1,14683,50631,1,2
1034,1389544325,1391290297,1745972,6.242037274683,14683,50631,1,2,10389,35824,4,1
1035,1391290297,1392949825,1659528,6.219984584339,10389,35824,4,1,14701,50693,3,2
1036,1392949825,1393699429,749604,5.874831895347,14701,50693,3,2,10398,35855,5,1
1037,1393699429,1396359493,2660064,6.424892085696,10398,35855,5,1,14719,50755,5,2
1038,1396359493,1399613161,3253668,6.512373236024,14719,50755,5,2,10420,35931,1,1
1039,1399613161,1399773329,160168,5.204575752625,10420,35931,1,1,14737,50817,7,2
1040,1399773329,1400543821,770492,5.886768133809,14737,50817,7,2,14741,50831,1,2
1041,1400543821,1402029485,1485664,6.171920599838,14741,50831,1,2,10429,35962,2,1
1042,1402029485,1403191333,1161848,6.065149314733,10429,35962,2,1,14755,50879,9,2
1043,1403191333,1403962765,771432,5.887297650002,14755,50879,9,2,14759,50893,3,2
1044,1403962765,1404447893,485128,5.685856341405,14759,50893,3,2,10438,35993,3,1
1045,1404447893,1406868385,2420492,6.383903651587,10438,35993,3,1,10447,36024,4,1
1046,1406868385,1407385877,517492,5.713903640346,10447,36024,4,1,14777,50955,5,2
1047,1407385877,1409290961,1905084,6.279914129582,14777,50955,5,2,10456,36055,5,1
1048,1409290961,1410813157,1522196,6.182470576375,10456,36055,5,1,14795,51017,7,2
1049,1410813157,1411586681,773524,5.888473793027,14795,51017,7,2,14799,51031,1,2
1050,1411586681,1411715621,128940,5.110387665875,14799,51031,1,2,10465,36086,6,1
1051,1411715621,1414142365,2426744,6.385023964527,10465,36086,6,1,10474,36117,7,1
1052,1414142365,1414244605,102240,5.009620840814,10474,36117,7,1,14813,51079,9,2
1053,1414244605,1415237645,993040,5.996966742382,14813,51079,9,2,10478,36131,1,1
1054,1415237645,1417667413,2429768,6.385564808113,10478,36131,1,1,10487,36162,2,1
1055,1417667413,1420099265,2431852,6.385937140692,10487,36162,2,1,10496,36193,3,1
1056,1420099265,1421896349,1797084,6.254568377545,10496,36193,3,1,14853,51217,7,2
1057,1421896349,1422533201,636852,5.804038517027,14853,51217,7,2,10505,36224,4,1
1058,1422533201,1422672905,139704,5.145208840996,10505,36224,4,1,14857,51231,1,2
1059,1422672905,1424969221,2296316,6.361031651850,14857,51231,1,2,10514,36255,5,1
1060,1424969221,1426118737,1149516,6.060515020549,10514,36255,5,1,14875,51293,3,2
1061,1426118737,1427407325,1288588,6.110114082654,14875,51293,3,2,10523,36286,6,1
1062,1427407325,1429568737,2161412,6.334737558309,10523,36286,6,1,14893,51355,5,2
1063,1429568737,1429847513,278776,5.445255382352,14893,51355,5,2,10532,36317,7,1
1064,1429847513,1430948857,1101344,6.041922990150,10532,36317,7,1,10536,36331,1,1
1065,1430948857,1433022905,2074048,6.316818803111,10536,36331,1,1,14911,51417,7,2
1066,1433022905,1433392069,369164,5.567219343048,14911,51417,7,2,10545,36362,2,1
1067,1433392069,1433802493,410424,5.613232748699,10545,36362,2,1,14915,51431,1,2
1068,1433802493,1436481241,2678748,6.427931859798,14915,51431,1,2,14929,51479,9,2
1069,1436481241,1437261769,780528,5.892388487190,14929,51479,9,2,14933,51493,3,2
1070,1437261769,1438284745,1022976,6.009865444866,14933,51493,3,2,10563,36424,4,1
1071,1438284745,1440725213,2440468,6.387473117457,10563,36424,4,1,14951,51555,5,2
1072,1440725213,1440734209,8996,3.954049446764,14951,51555,5,2,10572,36455,5,1
1073,1440734209,1444192825,3458616,6.538902346247,10572,36455,5,1,14969,51617,7,2
1074,1444192825,1444975445,782620,5.893550942183,14969,51617,7,2,14973,51631,1,2
1075,1444975445,1445639389,663944,5.822131450578,14973,51631,1,2,10590,36517,7,1
1076,1445639389,1446746797,1107408,6.044307656564,10590,36517,7,1,10594,36531,1,1
1077,1446746797,1447664605,917808,5.962751838868,10594,36531,1,1,14987,51679,9,2
1078,1447664605,1449203453,1538848,6.187195724431,14987,51679,9,2,10603,36562,2,1
1079,1449203453,1451662193,2458740,6.390712606602,10603,36562,2,1,10612,36593,3,1
1080,1451662193,1451925053,262860,5.419724503562,10612,36593,3,1,15009,51755,5,2
1081,1451925053,1454123017,2197964,6.342020574926,15009,51755,5,2,10621,36624,4,1
1082,1454123017,1455406109,1283092,6.108257797185,10621,36624,4,1,15027,51817,7,2
1083,1455406109,1456191761,785652,5.895230220407,15027,51817,7,2,15031,51831,1,2
1084,1456191761,1459050917,2859156,6.456237851787,15031,51831,1,2,10639,36686,6,1
1085,1459050917,1459677925,627008,5.797273082033,10639,36686,6,1,15049,51893,3,2
1086,1459677925,1461517993,1840068,6.264833872726,15049,51893,3,2,10648,36717,7,1
1087,1461517993,1462631465,1113472,6.046679300491,10648,36717,7,1,10652,36731,1,1
1088,1462631465,1463168257,536792,5.729806034766,10652,36731,1,1,15067,51955,5,2
1089,1463168257,1465101565,1933308,6.286301048051,15067,51955,5,2,10661,36762,2,1
1090,1465101565,1467451441,2349876,6.371044945703,10661,36762,2,1,15089,52031,1,2
1091,1467451441,1467573749,122308,5.087454864577,15089,52031,1,2,10670,36793,3,1
1092,1467573749,1470048017,2474268,6.393446738388,10670,36793,3,1,10679,36824,4,1
1093,1470048017,1470161425,113408,5.054643691535,10679,36824,4,1,15103,52079,9,2
1094,1470161425,1470951049,789624,5.897420339901,15103,52079,9,2,15107,52093,3,2
1095,1470951049,1472524369,1573320,6.196817063437,15107,52093,3,2,10688,36855,5,1
1096,1472524369,1475002805,2478436,6.394177708714,10688,36855,5,1,10697,36886,6,1
1097,1475002805,1477483325,2480520,6.394542733027,10697,36886,6,1,10706,36917,7,1
1098,1477483325,1477962769,479444,5.680737888021,10706,36917,7,1,15143,52217,7,2
1099,1477962769,1478602861,640092,5.806242399329,15143,52217,7,2,10710,36931,1,1
1100,1478602861,1478754485,151624,5.180767949598,10710,36931,1,1,15147,52231,1,2
1101,1478754485,1481086405,2331920,6.367713647221,15147,52231,1,2,10719,36962,2,1
1102,1481086405,1481474881,388476,5.589364193305,10719,36962,2,1,15161,52279,9,2
1103,1481474881,1485784757,4309876,6.634464775198,15161,52279,9,2,15183,52355,5,2
1104,1485784757,1486059745,274988,5.439313742385,15183,52355,5,2,10737,37024,4,1
1105,1486059745,1488549541,2489796,6.396163764885,10737,37024,4,1,10746,37055,5,1
1106,1488549541,1489306145,756604,5.878868632983,10746,37055,5,1,15201,52417,7,2
1107,1489306145,1490100893,794748,5.900229443677,15201,52417,7,2,15205,52431,1,2
1108,1490100893,1493535385,3434492,6.535862509107,15205,52431,1,2,10764,37117,7,1
1109,1493535385,1493627389,92004,4.963806709304,10764,37117,7,1,15223,52493,3,2
1110,1493627389,1494660985,1033596,6.014350819942,15223,52493,3,2,10768,37131,1,1
1111,1494660985,1497157973,2496988,6.397416455228,10768,37131,1,1,10777,37162,2,1
1112,1497157973,1497158053,80,1.903089986992,10777,37162,2,1,15241,52555,5,2
1113,1497158053,1499657045,2498992,6.397764865826,15241,52555,5,2,10786,37193,3,1
1114,1499657045,1500692885,1035840,6.015292677722,10786,37193,3,1,15259,52617,7,2
1115,1500692885,1501490665,797780,5.901883144535,15259,52617,7,2,15263,52631,1,2
1116,1501490665,1502158201,667536,5.824474692029,15263,52631,1,2,10795,37224,4,1
1117,1502158201,1504231885,2073684,6.316742576782,10795,37224,4,1,15277,52679,9,2
1118,1504231885,1504661441,429556,5.633019789601,15277,52679,9,2,10804,37255,5,1
1119,1504661441,1505030605,369164,5.567219343048,10804,37255,5,1,15281,52693,3,2
1120,1505030605,1507166765,2136160,6.329633778560,15281,52693,3,2,10813,37286,6,1
1121,1507166765,1508574713,1407948,6.148586615225,10813,37286,6,1,15299,52755,5,2
1122,1508574713,1510805837,2231124,6.348523707899,15299,52755,5,2,10826,37331,1,1
1123,1510805837,1512122989,1317152,6.119635895654,10826,37331,1,1,15317,52817,7,2
1124,1512122989,1512923801,800812,5.903530572332,15317,52817,7,2,15321,52831,1,2
1125,1512923801,1513316269,392468,5.593804252190,15321,52831,1,2,10835,37362,2,1
1126,1513316269,1515675433,2359164,6.372758132416,10835,37362,2,1,15335,52879,9,2
1127,1515675433,1515828785,153352,5.185689444377,15335,52879,9,2,10844,37393,3,1
1128,1515828785,1518343385,2514600,6.400468911217,10844,37393,3,1,10853,37424,4,1
1129,1518343385,1520034737,1691352,6.228234001299,10853,37424,4,1,15357,52955,5,2
1130,1520034737,1520860069,825332,5.916628684021,15357,52955,5,2,10862,37455,5,1
1131,1520860069,1523378837,2518768,6.401188167117,10862,37455,5,1,10871,37486,6,1
1132,1523378837,1523596457,217620,5.337698805964,10871,37486,6,1,15375,53017,7,2
1133,1523596457,1524400301,803844,5.905171774479,15375,53017,7,2,15379,53031,1,2
1134,1524400301,1525899689,1499388,6.175914030750,15379,53031,1,2,10880,37517,7,1
1135,1525899689,1527037417,1137728,6.056038446401,10880,37517,7,1,10884,37531,1,1
1136,1527037417,1527967129,929712,5.968348436531,10884,37531,1,1,15397,53093,3,2
1137,1527967129,1529561293,1594164,6.202532997506,15397,53093,3,2,10893,37562,2,1
1138,1529561293,1534615297,5054004,6.703635581307,10893,37562,2,1,10911,37624,4,1
1139,1534615297,1535113289,497992,5.697222366085,10911,37624,4,1,15433,53217,7,2
1140,1535113289,1535920165,806876,5.906806797853,15433,53217,7,2,15437,53231,1,2
1141,1535920165,1538692621,2772456,6.442864662447,15437,53231,1,2,15451,53279,9,2
1142,1538692621,1539500437,807816,5.907312450769,15451,53279,9,2,15455,53293,3,2
1143,1539500437,1542211933,2711496,6.433208968101,15455,53293,3,2,10938,37717,7,1
1144,1542211933,1543084877,872944,5.940986384289,10938,37717,7,1,15473,53355,5,2
1145,1543084877,1543355725,270848,5.432725633011,15473,53355,5,2,10942,37731,1,1
1146,1543355725,1545893045,2537320,6.404375242732,10942,37731,1,1,10951,37762,2,1
1147,1545893045,1547483393,1590348,6.201492167052,10951,37762,2,1,15495,53431,1,2
1148,1547483393,1548432449,949056,5.977291839164,15495,53431,1,2,10960,37793,3,1
1149,1548432449,1550266261,1833812,6.263354810316,10960,37793,3,1,15509,53479,9,2
1150,1550266261,1550973937,707676,5.849834467268,15509,53479,9,2,10969,37824,4,1
1151,1550973937,1553517509,2543572,6.405444035563,10969,37824,4,1,10978,37855,5,1
1152,1553517509,1554674993,1157484,6.063514996442,10978,37855,5,1,15531,53555,5,2
1153,1554674993,1556063165,1388172,6.142443280256,15531,53555,5,2,10987,37886,6,1
1154,1556063165,1558277045,2213880,6.345154076908,10987,37886,6,1,15549,53617,7,2
1155,1558277045,1558610905,333860,5.523564389046,15549,53617,7,2,10996,37917,7,1
1156,1558610905,1559089985,479080,5.680408040883,10996,37917,7,1,15553,53631,1,2
1157,1559089985,1559760761,670776,5.826577515392,15553,53631,1,2,11000,37931,1,1
1158,1559760761,1562311525,2550764,6.406670278979,11000,37931,1,1,11009,37962,2,1
1159,1562311525,1562697145,385620,5.586159550294,11009,37962,2,1,15571,53693,3,2
1160,1562697145,1564864373,2167228,6.335904603029,15571,53693,3,2,11018,37993,3,1
1161,1564864373,1566308473,1444100,6.159597267987,11018,37993,3,1,15589,53755,5,2
1162,1566308473,1567419305,1110832,6.045648382082,15589,53755,5,2,11027,38024,4,1
1163,1567419305,1569923969,2504664,6.398749473623,11027,38024,4,1,15607,53817,7,2
1164,1569923969,1569976321,52352,4.718933277655,15607,53817,7,2,11036,38055,5,1
1165,1569976321,1570739941,763620,5.882877294494,11036,38055,5,1,15611,53831,1,2
1166,1570739941,1572535421,1795480,6.254180571847,15611,53831,1,2,11045,38086,6,1
1167,1572535421,1573543633,1008212,6.003551862218,11045,38086,6,1,15625,53879,9,2
1168,1573543633,1574360545,816912,5.912175275660,15625,53879,9,2,15629,53893,3,2
1169,1574360545,1575096605,736060,5.866913217336,15629,53893,3,2,11054,38117,7,1
1170,1575096605,1576252525,1155920,6.062927778063,11054,38117,7,1,11058,38131,1,1
1171,1576252525,1577985317,1732792,6.238746434224,11058,38131,1,1,15647,53955,5,2
1172,1577985317,1578816733,831416,5.919818377934,15647,53955,5,2,11067,38162,2,1
1173,1578816733,1581614257,2797524,6.446773821035,11067,38162,2,1,15665,54017,7,2
1174,1581614257,1582433261,819004,5.913286022852,15665,54017,7,2,15669,54031,1,2
1175,1582433261,1583951401,1518140,6.181311823222,15669,54031,1,2,11085,38224,4,1
1176,1583951401,1585247365,1295964,6.112592937631,11085,38224,4,1,15683,54079,9,2
1177,1585247365,1586521861,1274496,6.105338476776,15683,54079,9,2,11094,38255,5,1
1178,1586521861,1591669033,5147172,6.711568681054,11094,38255,5,1,11112,38317,7,1
1179,1591669033,1592831017,1161984,6.065200148055,11112,38317,7,1,11116,38331,1,1
1180,1592831017,1593347909,516892,5.713399810591,11116,38331,1,1,15723,54217,7,2
1181,1593347909,1594169945,822036,5.914890837320,15723,54217,7,2,15727,54231,1,2
1182,1594169945,1595408669,1238724,6.092974552034,15727,54231,1,2,11125,38362,2,1
1183,1595408669,1597817437,2408768,6.381794973028,11125,38362,2,1,15745,54293,3,2
1184,1597817437,1597988405,170968,5.232914831305,15745,54293,3,2,11134,38393,3,1
1185,1597988405,1600570225,2581820,6.411925960730,11134,38393,3,1,11143,38424,4,1
1186,1600570225,1601469097,898872,5.953697852299,11143,38424,4,1,15763,54355,5,2
1187,1601469097,1603154129,1685032,6.226608152858,15763,54355,5,2,11152,38455,5,1
1188,1603154129,1605124925,1970796,6.294641672144,11152,38455,5,1,15781,54417,7,2
1189,1605124925,1605740117,615192,5.789010679234,15781,54417,7,2,11161,38486,6,1
1190,1605740117,1605949993,209876,5.321962778442,11161,38486,6,1,15785,54431,1,2
1191,1605949993,1608328189,2378196,6.376247644316,15785,54431,1,2,11170,38517,7,1
1192,1608328189,1608784921,456732,5.659661440634,11170,38517,7,1,15799,54479,9,2
1193,1608784921,1609496237,711316,5.852062577619,15799,54479,9,2,11174,38531,1,1
1194,1609496237,1609610929,114692,5.059533126035,11174,38531,1,1,15803,54493,3,2
1195,1609610929,1612087333,2476404,6.393821496834,15803,54493,3,2,11183,38562,2,1
1196,1612087333,1613276033,1188700,6.075072262706,11183,38562,2,1,15821,54555,5,2
1197,1613276033,1614680513,1404480,6.147515559165,15821,54555,5,2,11192,38593,3,1
1198,1614680513,1616945305,2264792,6.355028322287,11192,38593,3,1,15839,54617,7,2
1199,1616945305,1617275777,330472,5.519134668782,15839,54617,7,2,11201,38624,4,1
1200,1617275777,1617773405,497628,5.696904808788,11201,38624,4,1,15843,54631,1,2
1201,1617773405,1620618745,2845340,6.454134169255,15843,54631,1,2,15857,54679,9,2
1202,1620618745,1622472557,1853812,6.268065689084,15857,54679,9,2,11219,38686,6,1
1203,1622472557,1625126333,2653776,6.423864262134,11219,38686,6,1,15879,54755,5,2
1204,1625126333,1626248185,1121852,6.049935566525,15879,54755,5,2,11232,38731,1,1
1205,1626248185,1628852725,2604540,6.415731031627,11232,38731,1,1,11241,38762,2,1
1206,1628852725,1629640181,787456,5.896226296441,11241,38762,2,1,15901,54831,1,2
1207,1629640181,1633328005,3687824,6.566770186337,15901,54831,1,2,15919,54893,3,2
1208,1633328005,1634068057,740052,5.869262236649,15919,54893,3,2,11259,38824,4,1
1209,1634068057,1636678849,2610792,6.416772273259,11259,38824,4,1,11268,38855,5,1
1210,1636678849,1637019997,341148,5.532942829547,11268,38855,5,1,15937,54955,5,2
1211,1637019997,1640716157,3696160,6.567750762768,15937,54955,5,2,15955,55017,7,2
1212,1640716157,1641550321,834164,5.921251443075,15955,55017,7,2,15959,55031,1,2
1213,1641550321,1641906685,356364,5.551893825020,15959,55031,1,2,11286,38917,7,1
1214,1641906685,1643086861,1180176,6.071946778602,11286,38917,7,1,11290,38931,1,1
1215,1643086861,1644416485,1329624,6.123728845620,11290,38931,1,1,15973,55079,9,2
1216,1644416485,1645251589,835104,5.921740563883,15973,55079,9,2,15977,55093,3,2
