gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
77,115705577,116034605,329028,5.517232857610,2996,10331,1,1,4243,14631,1,2
78,116034605,116401069,366464,5.564031317669,4243,14631,1,2,3005,10362,2,1
79,116401069,119228581,2827512,6.451404456753,3005,10362,2,1,4301,14831,1,2
80,119228581,120228877,1000296,6.000128532145,4301,14831,1,2,3054,10531,1,1
81,120228877,120937813,708936,5.850607030527,3054,10531,1,1,3063,10562,2,1
82,120937813,122465921,1528108,6.184154049362,3063,10562,2,1,4359,15031,1,2
83,122465921,124838905,2372984,6.375294809968,4359,15031,1,2,3112,10731,1,1
84,124838905,125561285,722380,5.858765713482,3112,10731,1,1,3121,10762,2,1
85,125561285,125746625,185340,5.267969158685,3121,10762,2,1,4417,15231,1,2
86,125746625,126772537,1025912,6.011110109749,4417,15231,1,2,4435,15293,3,2
87,126772537,129070693,2298156,6.361379505484,4435,15293,3,2,4475,15431,1,2
88,129070693,129535661,464968,5.667423064929,4475,15431,1,2,3170,10931,1,1
89,129535661,130110049,574388,5.759205358135,3170,10931,1,1,4493,15493,3,2
90,130110049,130271485,161436,5.208000388242,4493,15493,3,2,3179,10962,2,1
91,130271485,132438125,2166640,6.335786756727,3179,10962,2,1,4533,15631,1,2
92,132438125,134319145,1881020,6.274393413224,4533,15631,1,2,3228,11131,1,1
93,134319145,135068413,749268,5.874637184993,3228,11131,1,1,3237,11162,2,1
94,135068413,135848921,780508,5.892377358825,3237,11162,2,1,4591,15831,1,2
95,135848921,136915165,1066244,6.027856600308,4591,15831,1,2,4609,15893,3,2
96,136915165,139189357,2274192,6.356827127467,4609,15893,3,2,3286,11331,1,1
97,139189357,139303081,113724,5.055852126672,3286,11331,1,1,4649,16031,1,2
98,139303081,139952069,648988,5.812236666628,4649,16031,1,2,3295,11362,2,1
99,139952069,140382769,430700,5.634174871763,3295,11362,2,1,4667,16093,3,2
100,140382769,142800605,2417836,6.383426839655,4667,16093,3,2,4707,16231,1,2
101,142800605,144146297,1345692,6.128945670581,4707,16231,1,2,3344,11531,1,1
102,144146297,144922453,776156,5.889949019106,3344,11531,1,1,3353,11562,2,1
103,144922453,146341493,1419040,6.151994637554,3353,11562,2,1,4765,16431,1,2
104,146341493,147448069,1106576,6.043981246774,4765,16431,1,2,4783,16493,3,2
105,147448069,149189965,1741896,6.241022221869,4783,16493,3,2,3402,11731,1,1
106,149189965,149925745,735780,5.866747978646,3402,11731,1,1,4823,16631,1,2
107,149925745,149979565,53820,4.730943693428,4823,16631,1,2,3411,11762,2,1
108,149979565,151045765,1066200,6.027838678189,3411,11762,2,1,4841,16693,3,2
109,151045765,153553361,2507596,6.399257568401,4841,16693,3,2,4881,16831,1,2
110,153553361,154320361,767000,5.884795363949,4881,16831,1,2,3460,11931,1,1
111,154320361,155123405,803044,5.904739341585,3460,11931,1,1,3469,11962,2,1
112,155123405,157224341,2100936,6.322412822863,3469,11962,2,1,4939,17031,1,2
